title,current_price,discount_percentage,main_url,image,product_code,global_product_id,group_key,color_description,simple_color,sub_title,merch_product_id,internal_pid,consumer_channel_id
"Air Jordan 5 Retro ""White and Black""",200.0$,0%,https://www.nike.com/t/air-jordan-5-retro-white-and-black-mens-shoes-ZXK65P/DD0587-110,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/09b17354-205d-42cb-9d83-8d6d0c691e6d/AIR+JORDAN+5+RETRO.png",DD0587-110,f80a20b3-cbbd-4561-9ecb-e271def38792,ZXK65P,White/Sail/Metallic Silver/Black,White,Men's Shoes,57151180-daac-51ef-85af-97187ea7c138,1015614223,d9a5bc42-4b9c-4976-858a-f159cf99c647
"Air Jordan 1 Low ""Game Royal""",140.0$,0%,https://www.nike.com/t/air-jordan-1-low-game-royal-mens-shoes-SJWtxq/CZ0790-140,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/f0939982-bc52-42e0-b529-0ad2bc1654c5/AIR+JORDAN+1+RETRO+LOW+OG.png",CZ0790-140,bb639a02-9be7-49e2-ac42-70362c6c3e05,SJWtxq,White/Game Royal/Sail/Black,White,Men's Shoes,a6fc3a4b-3df4-53f1-ba5e-7aaa9e2d327f,1015623592,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike C1TY,100.0$,0%,https://www.nike.com/t/c1ty-mens-shoes-w1HpcCgA/HV4302-078,https://static.nike.com/a/images/t_default/120571f8-4c18-4ace-bf0b-a8cd2622a440/NIKE+C1TY.png,HV4302-078,0ab2e8fa-4f8e-4139-82fe-4e2aece904a4,w1HpcCgA,Vast Grey/Phantom/Gum Medium Brown/White,Grey,Men's Shoes,3cace323-9948-5ed5-a6ad-34c94e672c3e,1015684696,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Dunk Low Retro SE,125.0$,0%,https://www.nike.com/t/dunk-low-retro-se-mens-winterized-shoes-9kp0dB/FZ3052-300,https://static.nike.com/a/images/t_default/b724fe9e-49e5-410d-8354-8618154fc224/NIKE+DUNK+LOW+RETRO+SE.png,FZ3052-300,8a387309-e487-491c-b961-03af2e093217,9kp0dB,Vintage Green/Denim Turquoise/Anthracite/Black,Green,Men's Winterized Shoes,3ec5f48d-d4d4-53cc-96b4-1284b71cef5f,1015621639,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Dunk Low Retro,115.0$,0%,https://www.nike.com/t/dunk-low-retro-mens-shoes-5FQWGR/DD1391-100,https://static.nike.com/a/images/t_default/b1bcbca4-e853-4df7-b329-5be3c61ee057/NIKE+DUNK+LOW+RETRO.png,DD1391-100,ca85b990-22a9-361f-8787-103232afa13e,5FQWGR,White/White/Black,White,Men's Shoes,d94447c8-7ee7-5fde-b81c-de541506349b,13095480,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Air Force 1 '07,115.0$,0%,https://www.nike.com/t/air-force-1-07-mens-shoes-jBrhbr/CW2288-111,https://static.nike.com/a/images/t_default/b7d9211c-26e7-431a-ac24-b0540fb3c00f/AIR+FORCE+1+%2707.png,CW2288-111,fecf1975-b4ba-307c-8747-8aa654924118,jBrhbr,White/White,White,Men's Shoes,30694dee-8fb4-5e23-a8be-02dc261bc7b0,13071857,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Free Metcon 6,120.0$,0%,https://www.nike.com/t/free-metcon-6-mens-workout-shoes-QFCf19/FJ7127-001,https://static.nike.com/a/images/t_default/556d3884-4081-4c5a-88aa-f3711c80742c/NIKE+FREE+METCON+6.png,FJ7127-001,94942345-9598-4afd-a651-7a7ff20da4ae,QFCf19,Black/White,Black,Men's Workout Shoes,9daf3dbf-c593-5665-957b-e8c45b3b50b0,1015571225,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Pegasus 41,140.0$,0%,https://www.nike.com/t/pegasus-41-mens-road-running-shoes-R6tpoXaD/FD2722-002,https://static.nike.com/a/images/t_default/3cfa0374-d35c-4083-a466-35c5ce5e8eaa/AIR+ZOOM+PEGASUS+41.png,FD2722-002,ff19c470-37be-4280-a4e6-1a3c547efb01,R6tpoXaD,Black/Anthracite/White,Black,Men's Road Running Shoes,c559971a-0b6a-5dd9-816b-849557110825,1015446581,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Zoom Vomero 5,160.0$,0%,https://www.nike.com/t/zoom-vomero-5-mens-shoes-MgsTqZ/HF1553-003,https://static.nike.com/a/images/t_default/d6d5f919-47e9-4891-ae3c-cf5f2ee74c0a/NIKE+ZOOM+VOMERO+5.png,HF1553-003,98e16bbc-abb8-40ac-80f2-1f55b79c88a0,MgsTqZ,Cool Grey/Wolf Grey/White,Grey,Men's Shoes,693e6f61-72fd-54ff-87ea-64423849d0b4,1015651508,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike P-6000,110.0$,0%,https://www.nike.com/t/p-6000-shoes-XkgpKW/CD6404-023,https://static.nike.com/a/images/t_default/afa59af3-3482-473f-8242-9901364dcd86/NIKE+P-6000.png,CD6404-023,f9d85996-ae8f-4f6b-a309-26feee0a1c8b,XkgpKW,Metallic Cool Grey/White/Wolf Grey/Cool Grey,Grey,Shoes,b6ec8b65-3c31-5040-9997-fdf70e2035e0,1015651744,d9a5bc42-4b9c-4976-858a-f159cf99c647
"Ja 2 ""Tree Top""",130.0$,0%,https://www.nike.com/launch/r/FV6070-002,https://static.nike.com/a/images/t_default/7f4c8d8d-3f3c-47e6-8e2e-48b9f4c2d181/JA+2+XMAS.png,FV6070-002,bca99d71-4259-4db7-900f-c0a16c2dc649,vG3gvN,Light Silver/Iron Grey/Metallic Gold,Grey,Basketball Shoes,0a3a71ec-9a7c-5610-a294-1a487d16fd3c,1015615072,010794e5-35fe-4e32-aaff-cd2c74f89d61
"Book 1 ""Christmas""",140.0$,0%,https://www.nike.com/t/book-1-christmas-basketball-shoes-FxlwhV/FJ4249-102,https://static.nike.com/a/images/t_default/697bf957-3950-4e03-ae1d-a872f2d895d2/BOOK+1.png,FJ4249-102,f91f07fd-37b6-4aa4-aa9d-4df0e387a7b0,FxlwhV,White/Black/Clay Orange/White,White,Basketball Shoes,f6fec1d1-4289-5750-97b8-639bbd7e9613,1015661676,d9a5bc42-4b9c-4976-858a-f159cf99c647
"Ja 2 ""Purple Sky""",120.0$,0%,https://www.nike.com/t/ja-2-purple-sky-basketball-shoes-mkEicYoS/FD7328-500,https://static.nike.com/a/images/t_default/7700c2c4-18c5-4c24-83ca-bef0e7928f1b/JA+2.png,FD7328-500,f443d05b-7c41-4892-8ab8-d3cd46892635,mkEicYoS,Bold Berry/Light Lemon Twist/Dark Raisin/Baltic Blue,Purple,Basketball Shoes,d49bb692-bdc8-576f-a729-3507041993f2,1015615084,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike G.T. Cut 3,123.97$,34%,https://www.nike.com/t/gt-cut-3-basketball-shoes-GLHCGc/DV2913-006,https://static.nike.com/a/images/t_default/e4779459-a9b5-456c-afff-7884b3bede63/G.T.+CUT+3.png,DV2913-006,8603a848-e846-4da5-bb41-4a9b8a5de550,GLHCGc,Smoke Grey/Hot Fuchsia/Hyper Pink/Black,Grey,Basketball Shoes,873e63e5-fca6-5d14-9912-4795543c859b,1015646393,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Dunk Low JP,120.0$,0%,https://www.nike.com/t/dunk-low-jp-shoes-PCgFtv/IB2051-400,https://static.nike.com/a/images/t_default/ba9dc751-323e-4ab6-9a99-60ac002a9867/NIKE+DUNK+LOW+JP+QS.png,IB2051-400,7d3e7efd-2864-40aa-a356-0a64c3e1968b,PCgFtv,Midnight Navy/Varsity Red/Neutral Grey/Varsity Maize,Blue,Shoes,c2c320bc-3ceb-59e9-a4a3-0664d72163e9,1015689860,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Air Max 90,130.0$,0%,https://www.nike.com/t/air-max-90-mens-shoes-bAZ6AeHT/DM0029-012,https://static.nike.com/a/images/t_default/c79c9776-aa9f-4866-b511-352dd504f28c/AIR+MAX+90.png,DM0029-012,859c39e7-d497-4716-9815-7b48e862b75e,bAZ6AeHT,Smoke Grey/Light Lemon Twist/Black/Photon Dust,Grey,Men's Shoes,4dc5652b-b4ac-5fd5-a961-771b0029f9a5,1015697657,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Zoom Vomero Roam,180.0$,0%,https://www.nike.com/t/zoom-vomero-roam-mens-winterized-shoes-8Il3Lszv/FV2295-201,https://static.nike.com/a/images/t_default/be65c493-3b60-450e-ba1a-a72110b6acf9/NIKE+ZOOM+VOMERO+ROAM.png,FV2295-201,b48aaefd-8837-455c-845d-d81f3e4b9471,8Il3Lszv,Mink Brown/Medium Olive/Cargo Khaki/Mink Brown,Brown,Men's Winterized Shoes,b81ad6c7-651a-506b-bb0b-0dd172350dda,1015696868,d9a5bc42-4b9c-4976-858a-f159cf99c647
